Filename,Corpus,<# untagged words>,<# no-rules words>,<# tags>,<# words>,<# tokens>
NY The Iroquois (300)_4550,HotelReviews,100.0,0.0,431,429,887
Madison Concourse Hotel (337)_2394,HotelReviews,100.0,0.0,98,93,206
Chicago Radisson Blu Aqua (330)_3012,HotelReviews,100.0,0.0,93,93,198
NY The Iroquois (300)_4682,HotelReviews,100.0,0.0,37,35,79
SF Renaissance Stanford Court (306)_4350,HotelReviews,100.0,0.0,52,52,113
SF  The Chancellor (303)_3624,HotelReviews,100.0,0.0,159,158,339
Chicago The Talbott (309)_2788,HotelReviews,100.0,0.0,48,48,101
Madison DoubleTree (255)_2129,HotelReviews,100.0,0.0,381,380,803
Chicago - La Quinta Inn & Suites (235)_3399,HotelReviews,100.0,0.0,119,119,254
Chicago The Talbott (309)_2914,HotelReviews,100.0,0.0,17,17,39
Madison DoubleTree (255)_2260,HotelReviews,100.0,0.0,31,28,68
NY The Surrey (300)_4990,HotelReviews,100.0,0.0,551,551,1151
SF  The Chancellor (303)_3828,HotelReviews,100.0,0.0,45,45,98
Chicago The Talbott (309)_2956,HotelReviews,100.0,0.0,127,126,266
NY The Iroquois (300)_4668,HotelReviews,100.0,0.0,37,37,79
Madison Concourse Hotel (337)_2325,HotelReviews,100.0,0.0,85,84,180
SF The Presidio Travelodge (304)_3927,HotelReviews,100.0,0.0,34,34,75
NY The Surrey (300)_4846,HotelReviews,100.0,0.0,155,155,324
